distribution_channel,market_segment,total_of_special_requests,booking_changes,days_in_waiting_list,canceled_rooms,total_rooms,cancellation_rate
Corporate,Aviation,0,0,0,39,164,23.78048780487805
Corporate,Aviation,0,1,0,6,34,17.647058823529413
Corporate,Aviation,0,2,0,1,8,12.5
Corporate,Aviation,1,0,0,3,8,37.5
Corporate,Aviation,2,0,0,2,8,25.0
Corporate,Complementary,0,0,0,9,19,47.368421052631575
Corporate,Complementary,0,2,0,2,4,50.0
Corporate,Complementary,1,0,0,3,22,13.636363636363635
Corporate,Complementary,1,1,0,1,7,14.285714285714285
Corporate,Complementary,2,0,0,4,17,23.52941176470588
Corporate,Complementary,3,0,0,1,7,14.285714285714285
Corporate,Corporate,0,0,0,727,3092,23.51228978007762
Corporate,Corporate,0,0,15,6,16,37.5
Corporate,Corporate,0,0,16,1,1,100.0
Corporate,Corporate,0,0,21,1,1,100.0
Corporate,Corporate,0,1,0,55,526,10.456273764258556
Corporate,Corporate,0,2,0,11,177,6.214689265536723
Corporate,Corporate,0,3,0,3,38,7.894736842105263
Corporate,Corporate,0,4,0,3,21,14.285714285714285
Corporate,Corporate,1,0,0,38,537,7.076350093109869
Corporate,Corporate,1,1,0,7,121,5.785123966942149
Corporate,Corporate,1,2,0,1,28,3.571428571428571
Corporate,Corporate,2,0,0,17,107,15.887850467289718
Corporate,Corporate,2,1,0,3,36,8.333333333333332
Corporate,Corporate,2,2,0,1,5,20.0
Corporate,Corporate,3,0,0,4,27,14.814814814814813
Corporate,Direct,0,0,0,8,56,14.285714285714285
Corporate,Direct,0,1,0,1,7,14.285714285714285
Corporate,Direct,1,0,0,1,18,5.555555555555555
Corporate,Groups,0,0,0,351,689,50.943396226415096
Corporate,Groups,0,1,0,41,296,13.85135135135135
Corporate,Groups,0,2,0,2,114,1.7543859649122806
Corporate,Groups,0,4,0,1,13,7.6923076923076925
Corporate,Groups,0,5,0,2,5,40.0
Corporate,Groups,1,2,0,1,9,11.11111111111111
Corporate,Offline TA/TO,0,0,0,102,151,67.54966887417218
Corporate,Offline TA/TO,0,1,0,1,43,2.3255813953488373
Corporate,Online TA,0,0,0,13,26,50.0
Corporate,Online TA,0,1,0,1,3,33.33333333333333
Direct,Complementary,0,0,0,35,206,16.990291262135923
Direct,Complementary,0,1,0,6,40,15.0
Direct,Complementary,0,3,0,1,3,33.33333333333333
Direct,Complementary,1,0,0,12,139,8.633093525179856
Direct,Complementary,1,1,0,1,33,3.0303030303030303
Direct,Complementary,1,2,0,1,8,12.5
Direct,Complementary,2,0,0,10,59,16.94915254237288
Direct,Complementary,2,2,0,1,5,20.0
Direct,Complementary,3,0,0,2,27,7.4074074074074066
Direct,Complementary,4,0,0,1,10,10.0
Direct,Corporate,0,0,0,18,106,16.9811320754717
Direct,Corporate,0,2,0,1,5,20.0
Direct,Direct,0,0,0,1125,5666,19.855277091422522
Direct,Direct,0,0,11,2,2,100.0
Direct,Direct,0,1,0,132,1331,9.917355371900827
Direct,Direct,0,2,0,49,374,13.101604278074866
Direct,Direct,0,3,0,8,109,7.339449541284404
Direct,Direct,0,4,0,5,40,12.5
Direct,Direct,1,0,0,293,2139,13.697989714820007
Direct,Direct,1,1,0,64,616,10.38961038961039
Direct,Direct,1,1,1,1,1,100.0
Direct,Direct,1,2,0,20,168,11.904761904761903
Direct,Direct,1,3,0,5,57,8.771929824561402
Direct,Direct,1,4,0,1,23,4.3478260869565215
Direct,Direct,1,5,0,1,8,12.5
Direct,Direct,2,0,0,121,865,13.988439306358384
Direct,Direct,2,0,5,1,1,100.0
Direct,Direct,2,1,0,33,255,12.941176470588237
Direct,Direct,2,2,0,6,91,6.593406593406594
Direct,Direct,2,3,0,2,33,6.0606060606060606
Direct,Direct,2,4,0,1,15,6.666666666666667
Direct,Direct,3,0,0,28,244,11.475409836065573
Direct,Direct,3,1,0,4,74,5.405405405405405
Direct,Direct,3,2,0,2,31,6.451612903225806
Direct,Direct,3,4,0,1,6,16.666666666666664
Direct,Direct,4,0,0,5,33,15.151515151515152
Direct,Direct,4,2,0,1,8,12.5
Direct,Direct,5,0,0,2,6,33.33333333333333
Direct,Groups,0,0,0,517,926,55.83153347732181
Direct,Groups,0,0,32,1,1,100.0
Direct,Groups,0,0,38,1,1,100.0
Direct,Groups,0,0,46,1,1,100.0
Direct,Groups,0,0,101,1,14,7.142857142857142
Direct,Groups,0,0,125,1,9,11.11111111111111
Direct,Groups,0,1,0,16,227,7.048458149779736
Direct,Groups,0,2,0,1,98,1.0204081632653061
Direct,Groups,0,4,0,1,7,14.285714285714285
Direct,Groups,1,0,0,3,62,4.838709677419355
Direct,Offline TA/TO,0,0,0,2,9,22.22222222222222
Direct,Offline TA/TO,0,1,0,1,3,33.33333333333333
Direct,Online TA,0,0,0,2,34,5.88235294117647
Direct,Online TA,0,1,0,1,7,14.285714285714285
Direct,Online TA,1,0,0,1,33,3.0303030303030303
Direct,Online TA,4,0,0,4,7,57.14285714285714
Direct,Online TA,4,1,0,1,4,25.0
GDS,Offline TA/TO,0,0,0,6,35,17.142857142857142
GDS,Offline TA/TO,1,0,0,1,6,16.666666666666664
GDS,Offline TA/TO,1,1,0,1,2,50.0
GDS,Online TA,0,0,0,22,114,19.298245614035086
GDS,Online TA,1,0,0,5,20,25.0
GDS,Online TA,1,1,0,1,2,50.0
GDS,Online TA,2,2,0,1,1,100.0
TA/TO,Aviation,0,0,0,1,10,10.0
TA/TO,Complementary,0,0,0,3,20,15.0
TA/TO,Complementary,1,0,0,2,19,10.526315789473683
TA/TO,Complementary,2,0,0,2,14,14.285714285714285
TA/TO,Corporate,0,0,0,88,239,36.82008368200837
TA/TO,Corporate,0,0,59,2,2,100.0
TA/TO,Corporate,0,1,0,2,45,4.444444444444445
TA/TO,Corporate,0,2,0,1,10,10.0
TA/TO,Corporate,1,1,0,1,4,25.0
TA/TO,Corporate,1,3,0,1,4,25.0
TA/TO,Direct,0,0,0,4,51,7.8431372549019605
TA/TO,Direct,0,1,0,3,17,17.647058823529413
TA/TO,Direct,1,0,0,2,71,2.8169014084507045
TA/TO,Direct,3,0,0,1,11,9.090909090909092
TA/TO,Groups,0,0,0,10110,12929,78.19630288498723
TA/TO,Groups,0,0,2,1,1,100.0
TA/TO,Groups,0,0,4,1,1,100.0
TA/TO,Groups,0,0,5,4,5,80.0
TA/TO,Groups,0,0,7,1,1,100.0
TA/TO,Groups,0,0,8,1,2,50.0
TA/TO,Groups,0,0,9,14,14,100.0
TA/TO,Groups,0,0,10,27,27,100.0
TA/TO,Groups,0,0,11,2,2,100.0
TA/TO,Groups,0,0,13,1,2,50.0
TA/TO,Groups,0,0,14,1,4,25.0
TA/TO,Groups,0,0,15,1,1,100.0
TA/TO,Groups,0,0,17,28,28,100.0
TA/TO,Groups,0,0,18,2,3,66.66666666666666
TA/TO,Groups,0,0,20,25,25,100.0
TA/TO,Groups,0,0,21,13,13,100.0
TA/TO,Groups,0,0,22,53,54,98.14814814814815
TA/TO,Groups,0,0,23,1,1,100.0
TA/TO,Groups,0,0,26,4,4,100.0
TA/TO,Groups,0,0,27,1,1,100.0
TA/TO,Groups,0,0,28,3,3,100.0
TA/TO,Groups,0,0,30,1,1,100.0
TA/TO,Groups,0,0,31,122,122,100.0
TA/TO,Groups,0,0,32,17,17,100.0
TA/TO,Groups,0,0,34,5,7,71.42857142857143
TA/TO,Groups,0,0,35,56,56,100.0
TA/TO,Groups,0,0,38,10,10,100.0
TA/TO,Groups,0,0,39,40,40,100.0
TA/TO,Groups,0,0,40,17,17,100.0
TA/TO,Groups,0,0,41,50,50,100.0
TA/TO,Groups,0,0,44,4,5,80.0
TA/TO,Groups,0,0,45,65,65,100.0
TA/TO,Groups,0,0,46,1,1,100.0
TA/TO,Groups,0,0,47,1,1,100.0
TA/TO,Groups,0,0,48,3,3,100.0
TA/TO,Groups,0,0,49,1,12,8.333333333333332
TA/TO,Groups,0,0,50,4,4,100.0
TA/TO,Groups,0,0,56,2,2,100.0
TA/TO,Groups,0,0,57,25,25,100.0
TA/TO,Groups,0,0,59,1,1,100.0
TA/TO,Groups,0,0,60,23,24,95.83333333333334
TA/TO,Groups,0,0,71,5,5,100.0
TA/TO,Groups,0,0,73,1,1,100.0
TA/TO,Groups,0,0,75,20,20,100.0
TA/TO,Groups,0,0,76,2,2,100.0
TA/TO,Groups,0,0,80,1,1,100.0
TA/TO,Groups,0,0,84,1,1,100.0
TA/TO,Groups,0,0,87,4,17,23.52941176470588
TA/TO,Groups,0,0,93,39,39,100.0
TA/TO,Groups,0,0,96,1,7,14.285714285714285
TA/TO,Groups,0,0,98,17,42,40.476190476190474
TA/TO,Groups,0,0,99,1,2,50.0
TA/TO,Groups,0,0,100,1,2,50.0
TA/TO,Groups,0,0,111,1,1,100.0
TA/TO,Groups,0,0,113,1,2,50.0
TA/TO,Groups,0,0,117,1,1,100.0
TA/TO,Groups,0,0,121,1,1,100.0
TA/TO,Groups,0,0,122,2,41,4.878048780487805
TA/TO,Groups,0,0,174,15,15,100.0
TA/TO,Groups,0,0,176,11,27,40.74074074074074
TA/TO,Groups,0,0,183,1,1,100.0
TA/TO,Groups,0,0,236,6,34,17.647058823529413
TA/TO,Groups,0,0,330,1,15,6.666666666666667
TA/TO,Groups,0,0,379,9,9,100.0
TA/TO,Groups,0,0,391,41,41,100.0
TA/TO,Groups,0,1,0,161,1112,14.47841726618705
TA/TO,Groups,0,1,34,4,8,50.0
TA/TO,Groups,0,1,71,1,1,100.0
TA/TO,Groups,0,1,98,12,15,80.0
TA/TO,Groups,0,1,391,2,2,100.0
TA/TO,Groups,0,2,0,20,248,8.064516129032258
TA/TO,Groups,0,2,61,1,3,33.33333333333333
TA/TO,Groups,0,2,391,2,2,100.0
TA/TO,Groups,0,3,0,4,58,6.896551724137931
TA/TO,Groups,0,4,0,1,39,2.564102564102564
TA/TO,Groups,0,4,100,1,1,100.0
TA/TO,Groups,1,0,0,11,902,1.2195121951219512
TA/TO,Groups,1,1,0,2,165,1.2121212121212122
TA/TO,Groups,1,3,0,1,13,7.6923076923076925
TA/TO,Groups,2,0,0,7,71,9.859154929577464
TA/TO,Groups,2,2,0,1,12,8.333333333333332
TA/TO,Offline TA/TO,0,0,0,5982,14560,41.08516483516483
TA/TO,Offline TA/TO,0,0,3,59,59,100.0
TA/TO,Offline TA/TO,0,0,4,7,9,77.77777777777779
